id;Gov_id;Name;English;created_at
1;1;القاهره;Cairo;now()
2;2;الجيزة;Giza;now()
3;2;السادس من أكتوبر;Sixth of October;now()
4;2;الشيخ زايد\n;Cheikh Zayed;now()
5;2;الحوامدية;Hawamdiyah;now()
6;2;البدرشين;Al Badrasheen;now()
7;2;الصف;Saf;now()
8;2;أطفيح;Atfih;now()
9;2;العياط;Al Ayat;now()
10;2;الباويطي;Al-Bawaiti;now()
11;2;منشأة القناطر;ManshiyetAl Qanater;now()
12;2;أوسيم;Oaseem;now()
13;2;كرداسة;Kerdasa;now()
14;2;أبو النمرس;Abu Nomros;now()
15;2;"كفر غطاطي";Kafr Ghati;now()
16;2;منشأة البكاري;Manshiyet Al Bakari;now()
17;3;الأسكندرية;Alexandria;now()
18;3;برج العرب;Burj Al Arab;now()
19;3;برج العرب الجديدة;New Burj Al Arab;now()
20;12;بنها;Banha;now()
21;12;قليوب;Qalyub;now()
22;12;شبرا الخيمة;Shubra Al Khaimah;now()
23;12;القناطر الخيرية;Al Qanater Charity;now()
24;12;الخانكة;Khanka;now()
25;12;كفر شكر;Kafr Shukr;now()
26;12;طوخ;Tukh;now()
27;12;قها;Qaha;now()
28;12;العبور;Obour;now()
29;12;الخصوص;Khosous;now()
30;12;شبين القناطر;Shibin Al Qanater;now()
31;6;دمنهور;Damanhour;now()
32;6;كفر الدوار;Kafr El Dawar;now()
33;6;رشيد;Rashid;now()
34;6;إدكو;Edco;now()
35;6;أبو المطامير;Abu al-Matamir;now()
36;6;أبو حمص;Abu Homs;now()
37;6;الدلنجات;Delengat;now()
38;6;المحمودية;Mahmoudiyah;now()
39;6;الرحمانية;Rahmaniyah;now()
40;6;إيتاي البارود;Itai Baroud;now()
41;6;حوش عيسى;Housh Eissa;now()
42;6;شبراخيت;Shubrakhit;now()
43;6;كوم حمادة;Kom Hamada;now()
44;6;بدر;Badr;now()
45;6;وادي النطرون;Wadi Natrun;now()
46;6;النوبارية الجديدة;New Nubaria;now()
47;23;مرسى مطروح;Marsa Matrouh;now()
48;23;الحمام;El Hamam;now()
49;23;العلمين;Alamein;now()
50;23;الضبعة;Dabaa;now()
51;23;النجيلة;Al-Nagila;now()
52;23;سيدي براني;Sidi Brani;now()
53;23;السلوم;Salloum;now()
54;23;سيوة;Siwa;now()
55;19;دمياط;Damietta;now()
56;19;دمياط الجديدة;New Damietta;now()
57;19;رأس البر;Ras El Bar;now()
58;19;فارسكور;Faraskour;now()
59;19;الزرقا;Zarqa;now()
60;19;السرو;alsaru;now()
61;19;الروضة;alruwda;now()
62;19;كفر البطيخ;Kafr El-Batikh;now()
63;19;عزبة البرج;Azbet Al Burg;now()
64;19;"ميت أبو غالب";Meet Abou Ghalib;now()
65;19;كفر سعد;Kafr Saad;now()
66;4;المنصورة;Mansoura;now()
67;4;طلخا;Talkha;now()
68;4;"ميت غمر";Mitt Ghamr;now()
69;4;دكرنس;Dekernes;now()
70;4;أجا;Aga;now()
71;4;منية النصر;Menia El Nasr;now()
72;4;السنبلاوين;Sinbillawin;now()
73;4;الكردي;El Kurdi;now()
74;4;بني عبيد;Bani Ubaid;now()
75;4;المنزلة;Al Manzala;now()
76;4;تمي الأمديد;tami al amdid;now()
77;4;الجمالية;aljamalia;now()
78;4;شربين;Sherbin;now()
79;4;المطرية;Mataria;now()
80;4;بلقاس;Belqas;now()
81;4;ميت سلسيل;Meet Salsil;now()
82;4;جمصة;Gamasa;now()
83;4;محلة دمنة;Mahalat Damana;now()
84;4;نبروه;Nabroh;now()
85;22;كفر الشيخ;Kafr El Sheikh;now()
86;22;دسوق;Desouq;now()
87;22;فوه;Fooh;now()
88;22;مطوبس;Metobas;now()
89;22;برج البرلس;Burg Al Burullus;now()
90;22;بلطيم;Baltim;now()
91;22;مصيف بلطيم;Masief Baltim;now()
92;22;الحامول;Hamol;now()
93;22;بيلا;Bella;now()
94;22;الرياض;Riyadh;now()
95;22;سيدي سالم;Sidi Salm;now()
96;22;قلين;Qellen;now()
97;22;"سيدي غازي";Sidi Ghazi;now()
98;8;طنطا;Tanta;now()
99;8;المحلة الكبرى;Al Mahalla Al Kobra;now()
100;8;كفر الزيات;Kafr El Zayat;now()
101;8;زفتى;Zefta;now()
102;8;السنطة;El Santa;now()
103;8;قطور;Qutour;now()
104;8;بسيون;Basion;now()
105;8;سمنود;Samannoud;now()
106;10;شبين الكوم;Shbeen El Koom;now()
107;10;مدينة السادات;Sadat City;now()
108;10;منوف;Menouf;now()
109;10;سرس الليان;Sars El-Layan;now()
110;10;أشمون;Ashmon;now()
111;10;الباجور;Al Bagor;now()
112;10;قويسنا;Quesna;now()
113;10;بركة السبع;Berkat El Saba;now()
114;10;تلا;Tala;now()
115;10;الشهداء;Al Shohada;now()
116;20;الزقازيق;Zagazig;now()
117;20;العاشر من رمضان;Al Ashr Men Ramadan;now()
118;20;منيا القمح;Minya Al Qamh;now()
119;20;بلبيس;Belbeis;now()
120;20;مشتول السوق;Mashtoul El Souq;now()
121;20;القنايات;Qenaiat;now()
122;20;أبو حماد;Abu Hammad;now()
123;20;القرين;El Qurain;now()
124;20;ههيا;Hehia;now()
125;20;أبو كبير;Abu Kabir;now()
126;20;فاقوس;Faccus;now()
127;20;الصالحية الجديدة;El Salihia El Gedida;now()
128;20;الإبراهيمية;Al Ibrahimiyah;now()
129;20;ديرب نجم;Deirb Negm;now()
130;20;كفر صقر;Kafr Saqr;now()
131;20;أولاد صقر;Awlad Saqr;now()
132;20;الحسينية;Husseiniya;now()
133;20;صان الحجر القبلية;san alhajar alqablia;now()
134;20;منشأة أبو عمر;Manshayat Abu Omar;now()
135;18;بورسعيد;PorSaid;now()
136;18;بورفؤاد;PorFouad;now()
137;9;الإسماعيلية;Ismailia;now()
138;9;فايد;Fayed;now()
139;9;القنطرة شرق;Qantara Sharq;now()
140;9;"القنطرة غرب";Qantara Gharb;now()
141;9;التل الكبير;El Tal El Kabier;now()
142;9;أبو صوير;Abu Sawir;now()
143;9;القصاصين الجديدة;Kasasien El Gedida;now()
144;14;السويس;Suez;now()
145;26;العريش;Arish;now()
146;26;الشيخ زويد;Sheikh Zowaid;now()
147;26;نخل;Nakhl;now()
148;26;رفح;Rafah;now()
149;26;بئر العبد;Bir al-Abed;now()
150;26;الحسنة;Al Hasana;now()
151;21;الطور;Al Toor;now()
152;21;شرم الشيخ;Sharm El-Shaikh;now()
153;21;دهب;Dahab;now()
154;21;نويبع;Nuweiba;now()
155;21;طابا;Taba;now()
156;21;سانت كاترين;Saint Catherine;now()
157;21;أبو رديس;Abu Redis;now()
158;21;أبو زنيمة;Abu Zenaima;now()
159;21;رأس سدر;Ras Sidr;now()
160;17;بني سويف;Bani Sweif;now()
161;17;بني سويف الجديدة;Beni Suef El Gedida;now()
162;17;الواسطى;Al Wasta;now()
163;17;ناصر;Naser;now()
164;17;إهناسيا;Ehnasia;now()
165;17;ببا;beba;now()
166;17;الفشن;Fashn;now()
167;17;سمسطا;Somasta;now()
168;7;الفيوم;Fayoum;now()
169;7;الفيوم الجديدة;Fayoum El Gedida;now()
170;7;طامية;Tamiya;now()
171;7;سنورس;Snores;now()
172;7;إطسا;Etsa;now()
173;7;إبشواي;Epschway;now()
174;7;يوسف الصديق;Yusuf El Sediaq;now()
175;11;المنيا;Minya;now()
176;11;المنيا الجديدة;Minya El Gedida;now()
177;11;العدوة;El Adwa;now()
178;11;"مغاغة";Magagha;now()
179;11;بني مزار;Bani Mazar;now()
180;11;مطاي;Mattay;now()
181;11;سمالوط;Samalut;now()
182;11;المدينة الفكرية;Madinat El Fekria;now()
183;11;ملوي;Meloy;now()
184;11;دير مواس;Deir Mawas;now()
185;16;أسيوط;Assiut;now()
186;16;أسيوط الجديدة;Assiut El Gedida;now()
187;16;ديروط;Dayrout;now()
188;16;منفلوط;Manfalut;now()
189;16;القوصية;Qusiya;now()
190;16;أبنوب;Abnoub;now()
191;16;أبو تيج;Abu Tig;now()
192;16;"الغنايم";El Ghanaim;now()
193;16;ساحل سليم;Sahel Selim;now()
194;16;البداري;El Badari;now()
195;16;صدفا;Sidfa;now()
196;13;الخارجة;El Kharga;now()
197;13;باريس;Paris;now()
198;13;موط;Mout;now()
199;13;الفرافرة;Farafra;now()
200;13;بلاط;Balat;now()
201;5;"الغردقة";Hurghada;now()
202;5;"رأس غارب";Ras Ghareb;now()
203;5;سفاجا;Safaga;now()
204;5;القصير;El Qusiar;now()
205;5;مرسى علم;Marsa Alam;now()
206;5;الشلاتين;Shalatin;now()
207;5;حلايب;Halaib;now()
208;27;سوهاج;Sohag;now()
209;27;سوهاج الجديدة;Sohag El Gedida;now()
210;27;أخميم;Akhmeem;now()
211;27;أخميم الجديدة;Akhmim El Gedida;now()
212;27;البلينا;Albalina;now()
213;27;"المراغة";El Maragha;now()
214;27;المنشأة;almunshaa;now()
215;27;دار السلام;Dar AISalaam;now()
216;27;جرجا;Gerga;now()
217;27;"جهينة الغربية";Jahina Al Gharbia;now()
218;27;ساقلته;Saqilatuh;now()
219;27;طما;Tama;now()
220;27;طهطا;Tahta;now()
221;25;قنا;Qena;now()
222;25;قنا الجديدة;New Qena;now()
223;25;أبو تشت;Abu Tesht;now()
224;25;نجع حمادي;Nag Hammadi;now()
225;25;دشنا;Deshna;now()
226;25;الوقف;Alwaqf;now()
227;25;قفط;Qaft;now()
228;25;نقادة;Naqada;now()
229;25;فرشوط;Farshout;now()
230;25;قوص;Quos;now()
231;24;الأقصر;Luxor;now()
232;24;الأقصر الجديدة;New Luxor;now()
233;24;إسنا;Esna;now()
234;24;طيبة الجديدة;New Tiba;now()
235;24;الزينية;Al ziynia;now()
236;24;البياضية;Al Bayadieh;now()
237;24;القرنة;Al Qarna;now()
238;24;أرمنت;Armant;now()
239;24;الطود;Al Tud;now()
240;15;أسوان;Aswan;now()
241;15;أسوان الجديدة;Aswan El Gedida;now()
242;15;دراو;Drau;now()
243;15;كوم أمبو;Kom Ombo;now()
244;15;نصر النوبة;Nasr Al Nuba;now()
245;15;كلابشة;Kalabsha;now()
246;15;إدفو;Edfu;now()
247;15;الرديسية;Al-Radisiyah;now()
248;15;البصيلية;Al Basilia;now()
249;15;السباعية;Al Sibaeia;now()
250;15;ابوسمبل السياحية;Abo Simbl Al Siyahia;now()
251;1;القاهرة الجديدة;newcairo;now()
